City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yellowknife,CA,2022-07-24 09:57:12,62.456,-114.3525,59.52,100,75,6.91
1,Ambam,CM,2022-07-24 09:57:13,2.3833,11.2833,73.56,76,95,3.83
2,Hilo,US,2022-07-24 09:53:51,19.7297,-155.09,77.29,94,31,5.01
3,Numan,NG,2022-07-24 09:57:14,9.4667,12.0333,85.32,57,99,10.25
4,Rikitea,PF,2022-07-24 09:57:15,-23.1203,-134.9692,73.49,72,6,10.33
5,Punta Arenas,CL,2022-07-24 09:57:15,-53.15,-70.9167,30.31,86,0,5.75
6,Kamenka,RU,2022-07-24 09:57:15,51.3223,42.7678,79.7,47,84,8.3
7,Chemax,MX,2022-07-24 09:57:16,20.65,-87.9333,73.47,99,100,2.77
8,Port Alfred,ZA,2022-07-24 09:57:16,-33.5906,26.891,57.18,92,85,8.99
9,Port Elizabeth,ZA,2022-07-24 09:55:58,-33.918,25.5701,61.32,78,0,21.85
10,Luderitz,NA,2022-07-24 09:57:16,-26.6481,15.1594,70.84,40,0,5.61
11,Ushuaia,AR,2022-07-24 09:57:17,-54.8,-68.3,31.66,74,20,4.61
12,Hutchinson,US,2022-07-24 09:53:38,38.0608,-97.9298,81.59,56,57,5.57
13,Xingyi,CN,2022-07-24 09:57:17,24.1877,102.817,73.29,74,69,4.9
14,Mahebourg,MU,2022-07-24 09:57:17,-20.4081,57.7,73.69,68,75,17.27
15,Bambous Virieux,MU,2022-07-24 09:57:18,-20.3428,57.7575,73.65,68,75,17.27
16,Busselton,AU,2022-07-24 09:57:18,-33.65,115.3333,55.92,66,96,7.23
17,Nikolskoye,RU,2022-07-24 09:57:18,59.7035,30.7861,73.87,58,99,5.77
18,Ostrovnoy,RU,2022-07-24 09:57:18,68.0531,39.5131,55.98,72,49,13.4
19,Pacifica,US,2022-07-24 09:55:49,37.6138,-122.4869,57.9,95,20,9.22
20,Vaini,TO,2022-07-24 09:57:19,-21.2,-175.2,71.76,78,40,8.05
21,Omaruru,NA,2022-07-24 09:57:19,-21.4333,15.9333,78.33,21,0,8.9
22,Saint-Francois,FR,2022-07-24 09:57:20,46.4154,3.9054,80.67,57,0,6.91
23,Mataura,NZ,2022-07-24 09:57:20,-46.1927,168.8643,41.49,98,13,2.08
24,Bure,ET,2022-07-24 09:57:22,10.7,37.0667,57.43,99,100,5.08
25,Finote Selam,ET,2022-07-24 09:57:23,10.7,37.2667,59.74,99,100,3.98
26,Bredasdorp,ZA,2022-07-24 09:57:24,-34.5322,20.0403,59.58,47,82,6.62
27,Sagua La Grande,CU,2022-07-24 09:57:26,22.8067,-80.0756,77.76,86,31,9.17
28,Pauini,BR,2022-07-24 09:57:26,-7.7136,-66.9764,70.45,94,21,1.72
29,Hithadhoo,MV,2022-07-24 09:57:26,-0.6,73.0833,82.24,71,86,5.53
30,Salalah,OM,2022-07-24 09:57:27,17.0151,54.0924,79.14,84,96,14.2
31,Tautira,PF,2022-07-24 09:57:27,-17.7333,-149.15,79.32,75,2,16.51
32,Necochea,AR,2022-07-24 09:57:27,-38.5473,-58.7368,49.19,84,100,6.73
33,Avarua,CK,2022-07-24 09:57:27,-21.2078,-159.775,69.85,64,40,4.61
34,Vezirkopru,TR,2022-07-24 09:57:28,41.1436,35.4547,81.09,43,21,5.95
35,Xuanhua,CN,2022-07-24 09:57:30,40.6103,115.0447,93.34,25,30,7.34
36,Ubala,CO,2022-07-24 09:57:31,4.7478,-72.5369,71.22,94,82,1.61
37,Atuona,PF,2022-07-24 09:57:33,-9.8,-139.0333,76.86,66,39,17.29
38,Yecuatla,MX,2022-07-24 09:57:34,19.8667,-96.75,70.47,84,78,4.81
39,Isangel,VU,2022-07-24 09:57:34,-19.55,169.2667,76.35,89,0,6.24
40,San Patricio,US,2022-07-24 09:57:35,28.017,-97.5169,84.83,84,11,9.17
41,Baruun-Urt,MN,2022-07-24 09:57:36,46.6806,113.2792,78.31,41,51,19.01
42,Inta,RU,2022-07-24 09:57:36,66.0317,60.1659,58.33,59,100,13.02
43,Takoradi,GH,2022-07-24 09:57:37,4.8845,-1.7554,78.15,72,56,6.6
44,Saskylakh,RU,2022-07-24 09:57:37,71.9167,114.0833,73.29,48,70,5.53
45,Dangtu,CN,2022-07-24 09:57:37,31.5723,118.4928,93.25,59,48,5.68
46,Marawi,PH,2022-07-24 09:57:37,7.9986,124.2928,70.79,95,90,1.74
47,Paamiut,GL,2022-07-24 09:57:38,61.994,-49.6678,43.05,85,1,8.59
48,Palencia,ES,2022-07-24 09:55:14,42.4167,-4.5,84.92,20,0,9.13
49,Puerto Escondido,MX,2022-07-24 09:58:40,15.85,-97.0667,77.34,89,99,1.07
50,Torbay,CA,2022-07-24 09:58:40,47.6666,-52.7314,68.88,85,20,11.5
51,Tasiilaq,GL,2022-07-24 09:58:41,65.6145,-37.6368,37.09,89,52,5.93
52,Dalbandin,PK,2022-07-24 09:58:41,28.8947,64.4101,102.06,25,83,2.82
53,Knysna,ZA,2022-07-24 09:58:42,-34.0363,23.0471,57.88,64,80,4.79
54,Bluff,NZ,2022-07-24 09:58:42,-46.6,168.3333,41.81,81,14,4.72
55,San Quintin,MX,2022-07-24 09:58:43,30.4833,-115.95,65.43,88,38,3.4
56,Yulara,AU,2022-07-24 09:56:34,-25.2406,130.9889,68.52,35,0,11.52
57,Provideniya,RU,2022-07-24 09:58:43,64.3833,-173.3,42.78,88,100,7.14
58,Khandbari,NP,2022-07-24 09:58:43,27.3747,87.2039,79.29,77,100,1.05
59,Tamparan,PH,2022-07-24 09:58:44,7.8792,124.3331,71.22,96,95,0.83
60,Ca Mau,VN,2022-07-24 09:58:44,9.1769,105.15,85.41,71,58,5.61
61,Dedza,MW,2022-07-24 09:58:44,-14.3779,34.3332,68.83,40,29,3.27
62,Beringovskiy,RU,2022-07-24 09:58:45,63.05,179.3167,45.34,77,100,6.13
63,Linares,CL,2022-07-24 09:58:45,-35.85,-71.6,48.72,92,100,3.85
64,Lebu,CL,2022-07-24 09:58:45,-37.6167,-73.65,48.94,97,100,6.15
65,Cape Town,ZA,2022-07-24 09:54:04,-33.9258,18.4232,65.12,57,0,14.97
66,Pevek,RU,2022-07-24 09:58:46,69.7008,170.3133,38.44,82,62,6.11
67,Atar,MR,2022-07-24 09:58:46,20.5169,-13.0499,93.25,22,21,0.0
68,Hasaki,JP,2022-07-24 09:58:46,35.7333,140.8333,84.29,85,98,15.35
69,Truro,GB,2022-07-24 09:58:47,50.2653,-5.0544,70.84,96,75,16.11
70,Flin Flon,CA,2022-07-24 09:58:47,54.7682,-101.865,47.98,86,100,3.13
71,Faanui,PF,2022-07-24 09:58:47,-16.4833,-151.75,78.62,77,13,13.67
72,Severo-Kurilsk,RU,2022-07-24 09:58:48,50.6789,156.125,53.04,96,100,3.38
73,Sibolga,ID,2022-07-24 09:58:48,1.7427,98.7792,78.8,88,100,3.09
74,Sicuani,PE,2022-07-24 09:58:49,-14.2694,-71.2261,37.83,94,24,0.56
75,Albany,US,2022-07-24 09:58:50,42.6001,-73.9662,70.54,83,92,2.04
76,Fairmont,US,2022-07-24 09:58:50,39.4851,-80.1426,67.39,97,69,3.98
77,Upernavik,GL,2022-07-24 09:58:51,72.7868,-56.1549,41.83,96,100,1.28
78,Hofn,IS,2022-07-24 09:58:51,64.2539,-15.2082,51.82,87,75,4.61
79,Harper,LR,2022-07-24 09:58:51,4.375,-7.7169,75.79,79,100,7.96
80,Quatre Cocos,MU,2022-07-24 09:58:52,-20.2078,57.7625,73.51,68,38,15.05
81,Arraial Do Cabo,BR,2022-07-24 09:58:52,-22.9661,-42.0278,67.96,94,20,8.05
82,Cayenne,GF,2022-07-24 09:58:53,4.9333,-52.3333,77.09,1,97,0.0
83,Farafangana,MG,2022-07-24 09:58:54,-22.8167,47.8333,73.35,69,2,7.11
84,Tangping,CN,2022-07-24 09:58:55,22.0265,111.9323,89.96,72,1,7.02
85,Fairbanks,US,2022-07-24 09:55:59,64.8378,-147.7164,52.09,75,100,5.75
86,Te Anau,NZ,2022-07-24 09:58:55,-45.4167,167.7167,37.98,95,33,1.72
87,Coihaique,CL,2022-07-24 09:58:55,-45.5752,-72.0662,28.35,86,75,2.3
88,Hobyo,SO,2022-07-24 09:58:56,5.3505,48.5268,81.84,64,55,29.62
89,Chuy,UY,2022-07-24 09:58:56,-33.6971,-53.4616,56.86,99,100,3.04
90,Songjianghe,CN,2022-07-24 09:58:57,42.1859,127.479,65.82,94,34,4.72
91,Olinda,BR,2022-07-24 09:57:26,-8.0089,-34.8553,73.13,88,75,12.66
92,Kankan,GN,2022-07-24 09:59:57,10.3854,-9.3057,74.88,87,99,4.9
93,Kapaa,US,2022-07-24 09:58:00,22.0752,-159.319,76.12,82,32,1.99
94,Gizo,SB,2022-07-24 09:59:57,-8.103,156.8419,82.83,76,17,11.74
95,Joshimath,IN,2022-07-24 09:59:58,30.5667,79.5667,77.56,85,94,5.97
96,Souillac,MU,2022-07-24 09:59:58,-20.5167,57.5167,73.78,68,75,17.27
97,Geraldton,AU,2022-07-24 09:55:12,-28.7667,114.6,57.61,72,1,5.75
98,Harda,IN,2022-07-24 09:59:59,22.3333,77.1,77.13,91,99,12.17
99,Clyde River,CA,2022-07-24 10:00:00,70.4692,-68.5914,43.03,87,100,12.66
100,Raudeberg,NO,2022-07-24 10:00:01,61.9875,5.1352,59.95,86,100,11.74
101,Nairn,GB,2022-07-24 10:00:02,57.5809,-3.8797,70.74,75,75,17.27
102,Qaanaaq,GL,2022-07-24 10:00:04,77.484,-69.3632,39.06,92,100,1.7
103,Salto Del Guaira,PY,2022-07-24 10:00:05,-24.0625,-54.3069,60.1,74,58,5.14
104,Hermanus,ZA,2022-07-24 10:00:06,-34.4187,19.2345,57.79,54,28,11.79
105,East London,ZA,2022-07-24 10:00:07,-33.0153,27.9116,60.3,61,81,20.13
106,Snezhnogorsk,RU,2022-07-24 10:00:08,69.1933,33.2531,56.98,69,91,17.87
